"","team_long_name","buildUpPlay","chanceCreation","defense","Goals"
"205","Grenoble Foot 38",NA,195,195,55
"206","Bologna",NA,165,135,263
"207","Brescia",141,158,150,34
"208","Heart of Midlothian",NA,210,200,317
"209","Málaga CF",NA,155,155,377
"210","UD Almería",NA,160,165,202
"211","CD Tenerife",163,161,171,40
"212","Xerez Club Deportivo",NA,138,153,38
"213","Real Sporting de Gijón",NA,185,195,200
"214","Valenciennes FC",NA,165,155,256
"215","FC Sochaux-Montbéliard",NA,125,160,246
"216","Napoli",180,215,159,514
"217","Hellas Verona",157,148,115,145
"218","Pescara",NA,180,125,27
"219","Fulham",NA,190,115,265
"220","Cesena",143,170,145,98
"221","Sampdoria",NA,125,135,318
"222","Juventus",NA,177,145,543
"223","Lecce",NA,162,150,121
"224","Frosinone",NA,156,193,35
"225","Hannover 96",NA,146,134,359
"226","1. FSV Mainz 05",NA,154,170,320
"227","Atlético Madrid",NA,185,159,524
"228","FC Utrecht",NA,182,125,408
"229","RC Celta de Vigo",152,139,169,184
"230","VfL Bochum",164,172,172,72
"231","DSC Arminia Bielefeld",166,159,138,29
"232","Celtic",180,178,165,695
"233","Motherwell",172,149,146,403
"234","FC Aarau",NA,180,150,153
"235","FC Basel",170,186,158,619
"236","Dundee United",NA,205,200,438
"237","Toulouse FC",NA,165,140,339
"238","Grasshopper Club Zürich",NA,184,153,429
"239","Bari",NA,193,160,76
"240","KSV Cercle Brugge",NA,165,168,213
"241","Standard de Liège",NA,173,157,341
"242","Sporting Charleroi",160,146,139,201
"243","KRC Genk",NA,182,149,348
"244","Lierse SK",171,169,152,113
"245","KAA Gent",NA,170,135,390
"246","Beerschot AC",NA,142,141,174
"247","Sporting Lokeren",NA,151,149,279
"248","Sint-Truidense VV",NA,153,138,115
"249","RAEC Mons",160,168,138,129
"250","KSV Roeselare",NA,125,205,62
"251","SV Zulte-Waregem",NA,150,200,306
"252","KVC Westerlo",148,144,146,217
"253","Swansea City",NA,167,155,233
"254","Parma",NA,168,142,272
"255","Queens Park Rangers",NA,210,210,115
"256","FC Sion",155,165,146,371
"257","FC Schalke 04",NA,195,185,426
"258","FC St. Gallen",146,115,133,276
"259","FC Thun",152,166,145,279
"260","BSC Young Boys",NA,202,158,529
"261","Stoke City",NA,167,153,322
"262","FC Luzern",165,160,151,421
"263","Villarreal CF",NA,160,165,364
"264","SC Beira Mar",NA,157,155,93
"265","CS Marítimo",182,186,126,316
"266","Amadora",NA,NA,NA,26
"267","CD Nacional",167,150,141,332
"268","Académica de Coimbra",150,166,138,240
"269","ADO Den Haag",160,151,159,366
"270","Excelsior",NA,162,105,154
"271","RKC Waalwijk",142,133,99,153
"272","SC Heerenveen",NA,162,137,470
"273","AZ",NA,167,174,492
"274","Genoa",NA,175,135,392
"275","Feyenoord",154,165,126,489
"276","Vitória Setúbal",149,158,132,238
"277","ES Troyes AC",148,147,137,71
"278","FC Zürich",157,151,146,468
"279","Montpellier Hérault SC",162,142,157,344
"280","Hibernian",NA,200,200,259
"281","Aston Villa",NA,185,130,335
"282","Manchester United",NA,180,130,582
"283","Newcastle United",NA,195,155,324
"284","SC Braga",NA,158,120,398
"285","Wisła Kraków",NA,183,157,332
"286","Valencia CF",NA,175,142,484
"287","Elche CF",171,164,158,65
"288","VfB Stuttgart",NA,200,175,415
"289","Hércules Club de Fútbol",NA,152,159,36
"290","Real Valladolid",153,167,161,170
"291","AC Arles-Avignon",156,138,158,21
"292","FC Arouca",174,160,109,101
"293","Termalica Bruk-Bet Nieciecza",NA,NA,NA,33
"294","Tondela",NA,NA,NA,34
"295","Carpi",190,160,115,37
"296","Royal Excel Mouscron",150,150,140,71
